date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:52	78/78	---MCZ	200	added ('OK')	text/plain	date:Sun,%2027%20Nov%202022%2007:59:11%20GMT	https://mint.cantocrabs.com/robots.txt		(from )
08:49:53	7760/7760	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Nov%202022%2007:59:11%20GMT	https://mint.cantocrabs.com/?fbclid=IwAR2OJYc-7ROU9CKLwFMTUHf_yUuzUytmuGqI1y8rdQxbN8z5-47yB2QqEz4	/Users/oneilbenjamin/websites/crabs/indexca24.html	(from )
08:49:54	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	date:Sun,%2027%20Nov%202022%2007:59:11%20GMT	https://mint.cantocrabs.com/favicon.ico	/Users/oneilbenjamin/websites/crabs/favicon.ico	(from https://mint.cantocrabs.com/?fbclid=IwAR2OJYc-7ROU9CKLwFMTUHf_yUuzUytmuGqI1y8rdQxbN8z5-47yB2QqEz4)
08:49:54	5347/5347	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Nov%202022%2007:59:11%20GMT	https://mint.cantocrabs.com/logo192.png	/Users/oneilbenjamin/websites/crabs/logo192.png	(from https://mint.cantocrabs.com/?fbclid=IwAR2OJYc-7ROU9CKLwFMTUHf_yUuzUytmuGqI1y8rdQxbN8z5-47yB2QqEz4)
08:49:56	492/492	---MCZ	200	added ('OK')	application/json	date:Sun,%2027%20Nov%202022%2007:59:11%20GMT	https://mint.cantocrabs.com/manifest.json	/Users/oneilbenjamin/websites/crabs/manifest.json	(from https://mint.cantocrabs.com/?fbclid=IwAR2OJYc-7ROU9CKLwFMTUHf_yUuzUytmuGqI1y8rdQxbN8z5-47yB2QqEz4)
08:49:57	9455/9455	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d2a-24ef%22	https://cdnjs.cloudflare.com/ajax/libs/animejs/1.0.0/anime.min.js	/Users/oneilbenjamin/websites/crabs/ajax/libs/animejs/1.0.0/anime.min.js	(from https://mint.cantocrabs.com/?fbclid=IwAR2OJYc-7ROU9CKLwFMTUHf_yUuzUytmuGqI1y8rdQxbN8z5-47yB2QqEz4)
08:49:58	2751/2751	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2027%20Nov%202022%2007:59:11%20GMT	https://mint.cantocrabs.com/matrixrain.js	/Users/oneilbenjamin/websites/crabs/matrixrain.js	(from https://mint.cantocrabs.com/?fbclid=IwAR2OJYc-7ROU9CKLwFMTUHf_yUuzUytmuGqI1y8rdQxbN8z5-47yB2QqEz4)
08:50:00	3290/3290	---MCZ	200	added ('OK')	text/css	date:Sun,%2027%20Nov%202022%2007:59:11%20GMT	https://mint.cantocrabs.com/static/css/main.d7d4e865.chunk.css	/Users/oneilbenjamin/websites/crabs/static/css/main.d7d4e865.chunk.css	(from https://mint.cantocrabs.com/?fbclid=IwAR2OJYc-7ROU9CKLwFMTUHf_yUuzUytmuGqI1y8rdQxbN8z5-47yB2QqEz4)
08:50:01	552949/552949	---MCZ	200	added ('OK')	text/css	date:Sun,%2027%20Nov%202022%2007:59:11%20GMT	https://mint.cantocrabs.com/static/css/2.8a48b591.chunk.css	/Users/oneilbenjamin/websites/crabs/static/css/2.8a48b591.chunk.css	(from https://mint.cantocrabs.com/?fbclid=IwAR2OJYc-7ROU9CKLwFMTUHf_yUuzUytmuGqI1y8rdQxbN8z5-47yB2QqEz4)
08:50:02	12393/12393	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2027%20Nov%202022%2007:59:11%20GMT	https://mint.cantocrabs.com/static/js/main.dec902ce.chunk.js	/Users/oneilbenjamin/websites/crabs/static/js/main.dec902ce.chunk.js	(from https://mint.cantocrabs.com/?fbclid=IwAR2OJYc-7ROU9CKLwFMTUHf_yUuzUytmuGqI1y8rdQxbN8z5-47yB2QqEz4)
